titulo,classificacao,sinopse
Oito e Meio,5.0,"Prestes a rodar sua próxima obra, o cineasta Guido Anselmi (Marcello Mastroianni) ainda não tem ideia de como será o filme. Mergulhado em uma crise existencial e pressionado pelo produtor, pela mulher, pela amante e pelos amigos, ele se interna em uma estação de águas e passa a misturar o passado com o presente, ficção com realidade."
A Doce Vida,5.0,"Em Roma Marcello Rubini (Marcello Mastroianni) é um jornalista que escreve fofocas para os tablóides sensacionalistas. Ele anseia ser um escritor sério mas, como tantos, nunca consegue escrever qualquer coisa mais profunda além do que ele normalmente escreve para viver. Em uma boate Marcello conhece uma herdeira rica, Maddalena (Anouk Aimée), ..."
Como Treinar o seu Dragão,4.5,"O live action acompanha a história de Soluço, um jovem que  faz parte de uma vila viking, que fica na ilha de Berk. Como vikings, eles enfrentam dragões, seres que atacam e destroem as casas e os animais. Porém, Soluço nunca conseguiu lutar e muito menos matar um dragão."
Missão Impossível - O Acerto Final,4.3,"No oitavo filme da franquia, Ethan Hunt (Tom Cruise) volta a sua missão de impedir as consequências trágicas do uso de uma Inteligência Artificial em computadores ao redor do mundo."
Thunderbolts*,4.3,Um grupo de anti-heróis chamados de Thunderbolts é construído para uma missão perigosa.
